Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Brad Pitt,Gravity,1980,Screen Actors Guild,40%,Series
Sandra Bullock,Se7en,2016,BAFTA,51%,Series
Morgan Freeman,Fight Club,1995,Screen Actors Guild,89%,Series
Natalie Portman,The Iron Lady,2012,No Awards,100%,Movie
Sandra Bullock,The Matrix,2012,No Awards,72%,Movie
Natalie Portman,The Devil Wears Prada,2020,Screen Actors Guild,62%,Movie
Leonardo DiCaprio,Black Swan,1982,BAFTA,53%,Movie
Brad Pitt,The Departed,1992,No Awards,55%,Movie
Sandra Bullock,Training Day,1981,Golden Globe,81%,Series
Denzel Washington,Training Day,1984,Critics Choice,43%,Movie
Leonardo DiCaprio,The Matrix,1990,Screen Actors Guild,48%,Movie
Meryl Streep,Ocean's Eleven,1984,Screen Actors Guild,76%,Series
Sandra Bullock,The Iron Lady,1984,No Awards,96%,Series
Robert De Niro,Ocean's Eleven,2012,No Awards,61%,Series
Brad Pitt,The Matrix,2014,Oscar,79%,Movie
Natalie Portman,Fences,2014,Critics Choice,61%,Series
Tom Hanks,Black Swan,2017,BAFTA,94%,Series
Denzel Washington,Forrest Gump,2006,Golden Globe,64%,Series
Robert De Niro,The Devil Wears Prada,2002,Critics Choice,94%,Series
Scarlett Johansson,The Devil Wears Prada,2022,Oscar,81%,Series
Brad Pitt,The Shawshank Redemption,2019,BAFTA,60%,Series
Leonardo DiCaprio,The Godfather Part II,2021,Oscar,95%,Series
Morgan Freeman,The Devil Wears Prada,2022,BAFTA,65%,Series
Tom Hanks,The Godfather Part II,1998,Critics Choice,54%,Series
Morgan Freeman,The Shawshank Redemption,2004,Golden Globe,44%,Movie
Meryl Streep,Lucy,2011,Oscar,90%,Series
Morgan Freeman,The Departed,1982,BAFTA,56%,Movie
Scarlett Johansson,Fences,2003,Golden Globe,67%,Series
Sandra Bullock,The Godfather Part II,2004,No Awards,42%,Series
Tom Hanks,Forrest Gump,2007,Critics Choice,70%,Movie
Sandra Bullock,The Iron Lady,2013,No Awards,60%,Series
Leonardo DiCaprio,Training Day,2018,BAFTA,79%,Movie
Morgan Freeman,The Devil Wears Prada,2000,Critics Choice,68%,Series
Robert De Niro,Fences,2013,No Awards,54%,Series
Scarlett Johansson,Training Day,2017,Oscar,41%,Movie
Natalie Portman,The Devil Wears Prada,1983,Critics Choice,46%,Series
Robert De Niro,Forrest Gump,2006,Oscar,90%,Series
Natalie Portman,The Devil Wears Prada,1982,Golden Globe,58%,Movie
Morgan Freeman,The Silence of the Lambs,1992,No Awards,71%,Movie
Brad Pitt,The Shawshank Redemption,1981,Oscar,84%,Movie
Sandra Bullock,Fences,2016,No Awards,55%,Movie
Morgan Freeman,Lucy,1991,No Awards,86%,Series
Denzel Washington,The Devil Wears Prada,2012,Oscar,90%,Movie
Natalie Portman,Pulp Fiction,1999,BAFTA,44%,Series
Sandra Bullock,Pulp Fiction,2005,Critics Choice,83%,Movie
Scarlett Johansson,Black Swan,1996,Critics Choice,43%,Series
Brad Pitt,Forrest Gump,2004,BAFTA,81%,Movie
Robert De Niro,The Wolf of Wall Street,2022,Critics Choice,49%,Movie
Tom Hanks,The Godfather Part II,1985,Critics Choice,53%,Movie
Morgan Freeman,Gravity,1992,Critics Choice,98%,Series
Scarlett Johansson,The Wolf of Wall Street,1999,Golden Globe,59%,Series
Sandra Bullock,La La Land,2001,BAFTA,64%,Series
Meryl Streep,Gravity,2004,Golden Globe,88%,Series
Natalie Portman,Pulp Fiction,2010,Critics Choice,90%,Movie
Robert De Niro,Pulp Fiction,2009,Critics Choice,84%,Movie
Denzel Washington,Black Swan,1985,BAFTA,45%,Movie
Leonardo DiCaprio,Training Day,1985,Screen Actors Guild,78%,Movie
Scarlett Johansson,Gravity,2022,No Awards,97%,Movie
Meryl Streep,The Wolf of Wall Street,2023,Golden Globe,73%,Series
Tom Hanks,The Wolf of Wall Street,2008,BAFTA,78%,Series
Morgan Freeman,The Iron Lady,2014,Oscar,98%,Series
Scarlett Johansson,Pulp Fiction,2018,Critics Choice,50%,Series
Sandra Bullock,Fight Club,2014,Golden Globe,76%,Movie
Denzel Washington,Fight Club,1999,Screen Actors Guild,96%,Series
Scarlett Johansson,Pulp Fiction,1983,Critics Choice,56%,Series
Sandra Bullock,Black Swan,2005,Critics Choice,59%,Movie
Natalie Portman,Titanic,2018,Critics Choice,53%,Series
Scarlett Johansson,Pulp Fiction,1998,BAFTA,46%,Series
Tom Hanks,Black Swan,1986,Critics Choice,60%,Series
Leonardo DiCaprio,Fences,2000,Oscar,73%,Series
Meryl Streep,Forrest Gump,2002,Golden Globe,84%,Series
Scarlett Johansson,The Matrix,1992,Golden Globe,70%,Movie
Brad Pitt,The Godfather Part II,2000,Golden Globe,100%,Movie
Morgan Freeman,Ocean's Eleven,2006,Golden Globe,65%,Series
Natalie Portman,The Wolf of Wall Street,2017,Critics Choice,64%,Series
Denzel Washington,Pulp Fiction,2009,Oscar,47%,Movie
Meryl Streep,Lucy,2020,Oscar,93%,Series
Brad Pitt,Gravity,2000,No Awards,55%,Series
Scarlett Johansson,La La Land,1986,No Awards,42%,Series
Leonardo DiCaprio,Black Swan,2019,Oscar,61%,Series
Sandra Bullock,Se7en,1999,Critics Choice,54%,Movie
Scarlett Johansson,Forrest Gump,2016,No Awards,67%,Movie
Morgan Freeman,Black Swan,1984,Screen Actors Guild,79%,Series
Denzel Washington,Fences,1999,Screen Actors Guild,84%,Series
Morgan Freeman,Titanic,1990,BAFTA,60%,Movie
Morgan Freeman,Pulp Fiction,1995,Oscar,71%,Movie
Tom Hanks,The Iron Lady,2021,Screen Actors Guild,74%,Series
Leonardo DiCaprio,Se7en,1995,Oscar,96%,Series
Sandra Bullock,Black Swan,1988,Screen Actors Guild,49%,Movie
Morgan Freeman,Gravity,1995,Oscar,76%,Series
Leonardo DiCaprio,Lucy,1990,Golden Globe,71%,Series
Leonardo DiCaprio,La La Land,2014,Critics Choice,84%,Series
Scarlett Johansson,Ocean's Eleven,1980,Screen Actors Guild,45%,Movie
Meryl Streep,The Devil Wears Prada,1995,Golden Globe,47%,Movie
Scarlett Johansson,Ocean's Eleven,1982,Screen Actors Guild,61%,Series
Denzel Washington,Titanic,1984,BAFTA,95%,Series
Meryl Streep,The Shawshank Redemption,2018,No Awards,44%,Series
Tom Hanks,The Wolf of Wall Street,1980,Critics Choice,45%,Movie
Morgan Freeman,La La Land,1992,Critics Choice,76%,Movie
Natalie Portman,Fight Club,2023,BAFTA,92%,Movie
Brad Pitt,La La Land,2023,Golden Globe,75%,Movie
Natalie Portman,Fences,1998,BAFTA,77%,Series
Tom Hanks,Black Swan,2021,Screen Actors Guild,47%,Series
Sandra Bullock,Gravity,2002,No Awards,67%,Movie
Natalie Portman,The Iron Lady,2006,Oscar,41%,Movie
Natalie Portman,La La Land,1986,BAFTA,65%,Series
Natalie Portman,Pulp Fiction,1996,Golden Globe,94%,Movie
Scarlett Johansson,Black Swan,2004,No Awards,92%,Movie
Scarlett Johansson,Titanic,1993,Critics Choice,75%,Series
Brad Pitt,Fences,1994,Critics Choice,65%,Movie
Denzel Washington,La La Land,1985,Screen Actors Guild,96%,Movie
Natalie Portman,The Shawshank Redemption,2017,Golden Globe,97%,Series
Leonardo DiCaprio,The Wolf of Wall Street,2006,No Awards,70%,Series
Meryl Streep,The Wolf of Wall Street,2014,Golden Globe,81%,Movie
Scarlett Johansson,La La Land,2021,No Awards,42%,Series
Meryl Streep,Gravity,1992,Critics Choice,65%,Movie
Sandra Bullock,Gravity,1993,Golden Globe,42%,Movie
Denzel Washington,Pulp Fiction,1991,Golden Globe,88%,Series
Leonardo DiCaprio,Training Day,2021,Critics Choice,65%,Movie
Brad Pitt,Fight Club,2015,Critics Choice,100%,Movie
Scarlett Johansson,Ocean's Eleven,1983,Oscar,62%,Series
Denzel Washington,Black Swan,2004,Screen Actors Guild,55%,Movie
Natalie Portman,Titanic,1986,Screen Actors Guild,55%,Series
Brad Pitt,The Matrix,1992,No Awards,65%,Series
Tom Hanks,Titanic,1998,Screen Actors Guild,56%,Series
Tom Hanks,Training Day,1989,Oscar,78%,Series
Leonardo DiCaprio,Forrest Gump,1986,Critics Choice,51%,Movie
Tom Hanks,The Departed,1980,BAFTA,85%,Series
Tom Hanks,Fight Club,2003,Screen Actors Guild,92%,Movie
Robert De Niro,La La Land,1984,No Awards,61%,Series
Denzel Washington,Pulp Fiction,1986,No Awards,40%,Series
Brad Pitt,Gravity,1985,Critics Choice,61%,Movie
Scarlett Johansson,Fight Club,2019,Oscar,43%,Series
Sandra Bullock,The Godfather Part II,2014,BAFTA,41%,Movie
Tom Hanks,Forrest Gump,1996,Screen Actors Guild,76%,Movie
Scarlett Johansson,Forrest Gump,2012,BAFTA,47%,Series
Brad Pitt,The Departed,2023,Screen Actors Guild,98%,Series
Sandra Bullock,Fight Club,1988,Critics Choice,90%,Series
Scarlett Johansson,Pulp Fiction,1992,Screen Actors Guild,40%,Series
Natalie Portman,The Shawshank Redemption,2020,Screen Actors Guild,51%,Movie
Leonardo DiCaprio,Lucy,2000,Critics Choice,97%,Series
Leonardo DiCaprio,Titanic,2022,No Awards,41%,Series
Sandra Bullock,Lucy,2022,Screen Actors Guild,86%,Series
Meryl Streep,Fight Club,2006,Critics Choice,82%,Movie
Robert De Niro,Titanic,1982,BAFTA,78%,Series
Natalie Portman,Forrest Gump,1998,BAFTA,84%,Movie
Tom Hanks,Fences,1999,Screen Actors Guild,81%,Series
Leonardo DiCaprio,The Silence of the Lambs,1993,Critics Choice,79%,Movie
Morgan Freeman,Pulp Fiction,1996,No Awards,76%,Series
Sandra Bullock,Titanic,2018,No Awards,46%,Series
Brad Pitt,The Godfather Part II,2004,No Awards,60%,Series
Natalie Portman,The Shawshank Redemption,1994,No Awards,47%,Series
Sandra Bullock,The Devil Wears Prada,1982,Golden Globe,82%,Movie
Denzel Washington,Se7en,1982,Screen Actors Guild,41%,Series
Brad Pitt,Fences,2013,Critics Choice,71%,Movie
Brad Pitt,The Matrix,1987,Oscar,40%,Movie
Tom Hanks,Pulp Fiction,1982,Oscar,67%,Movie
Meryl Streep,La La Land,1991,BAFTA,68%,Series
Brad Pitt,La La Land,1983,Oscar,99%,Movie
Brad Pitt,The Wolf of Wall Street,1996,BAFTA,90%,Movie
Robert De Niro,Ocean's Eleven,1985,Oscar,81%,Movie
Scarlett Johansson,Fences,2007,Critics Choice,88%,Series
Morgan Freeman,The Iron Lady,1984,Golden Globe,43%,Movie
Robert De Niro,Black Swan,1997,Critics Choice,78%,Series
Robert De Niro,The Matrix,1990,Golden Globe,85%,Series
Sandra Bullock,Se7en,1992,Golden Globe,77%,Series
Robert De Niro,Lucy,1989,BAFTA,69%,Movie
Natalie Portman,Forrest Gump,1983,No Awards,79%,Series
Denzel Washington,The Departed,2003,Critics Choice,47%,Movie
Meryl Streep,Fight Club,1983,Oscar,47%,Series
Morgan Freeman,Pulp Fiction,2004,Critics Choice,50%,Series
Brad Pitt,The Departed,2012,Critics Choice,98%,Movie
Denzel Washington,Forrest Gump,1988,Oscar,53%,Movie
Meryl Streep,Fences,1999,Critics Choice,77%,Movie
Denzel Washington,La La Land,1980,Oscar,64%,Movie
Meryl Streep,Se7en,2005,No Awards,80%,Movie
Morgan Freeman,The Godfather Part II,2020,Screen Actors Guild,55%,Movie
Sandra Bullock,The Wolf of Wall Street,1996,Oscar,97%,Movie
Meryl Streep,The Wolf of Wall Street,1994,Oscar,49%,Movie
Leonardo DiCaprio,The Devil Wears Prada,1980,Golden Globe,91%,Movie
Natalie Portman,The Shawshank Redemption,2018,Golden Globe,94%,Series
Robert De Niro,The Departed,2010,Golden Globe,64%,Series
Denzel Washington,The Godfather Part II,1981,Screen Actors Guild,54%,Movie
Sandra Bullock,Gravity,1985,Oscar,92%,Movie
Morgan Freeman,The Wolf of Wall Street,1990,Oscar,73%,Movie
Natalie Portman,The Matrix,2016,BAFTA,57%,Series
Natalie Portman,Fences,1986,BAFTA,96%,Movie
Meryl Streep,The Matrix,1986,BAFTA,50%,Series
Brad Pitt,Black Swan,2004,BAFTA,76%,Movie
Brad Pitt,Training Day,1980,Golden Globe,54%,Movie
Brad Pitt,Fight Club,1999,Golden Globe,85%,Movie
Scarlett Johansson,The Matrix,2015,Critics Choice,70%,Series
Brad Pitt,The Shawshank Redemption,1989,No Awards,55%,Series
Natalie Portman,The Devil Wears Prada,2019,No Awards,99%,Series
Meryl Streep,Titanic,1998,Screen Actors Guild,65%,Series
Scarlett Johansson,Se7en,2005,Golden Globe,88%,Movie
Brad Pitt,The Departed,1997,No Awards,62%,Movie
Scarlett Johansson,The Silence of the Lambs,2011,Golden Globe,66%,Movie
Scarlett Johansson,Fight Club,1996,Golden Globe,45%,Movie
Denzel Washington,The Godfather Part II,1994,Critics Choice,67%,Series
Brad Pitt,The Shawshank Redemption,2011,Oscar,73%,Movie
Sandra Bullock,The Godfather Part II,1991,BAFTA,82%,Movie
Robert De Niro,Ocean's Eleven,2011,BAFTA,91%,Movie
Morgan Freeman,The Iron Lady,1984,Golden Globe,99%,Movie
Leonardo DiCaprio,Titanic,2013,BAFTA,47%,Series
Leonardo DiCaprio,The Departed,2003,Oscar,84%,Series
Meryl Streep,La La Land,2019,Oscar,53%,Movie
Scarlett Johansson,La La Land,2015,BAFTA,90%,Movie
Robert De Niro,Pulp Fiction,2012,Oscar,60%,Series
Denzel Washington,Lucy,2020,No Awards,48%,Series
Robert De Niro,Gravity,1995,Screen Actors Guild,84%,Movie
Morgan Freeman,Black Swan,1987,No Awards,60%,Series
Natalie Portman,Ocean's Eleven,2009,Oscar,79%,Series
Leonardo DiCaprio,The Wolf of Wall Street,2004,Critics Choice,68%,Series
Leonardo DiCaprio,Gravity,1994,BAFTA,90%,Series
Brad Pitt,Se7en,2000,Screen Actors Guild,56%,Series
Scarlett Johansson,The Wolf of Wall Street,1993,Screen Actors Guild,66%,Movie
Robert De Niro,The Devil Wears Prada,1985,Screen Actors Guild,69%,Movie
Sandra Bullock,Ocean's Eleven,2022,BAFTA,54%,Series
Meryl Streep,Black Swan,2002,No Awards,47%,Series
Brad Pitt,The Godfather Part II,1997,Golden Globe,99%,Movie
Natalie Portman,Titanic,1986,BAFTA,84%,Movie
Natalie Portman,Forrest Gump,2000,BAFTA,80%,Movie
Scarlett Johansson,The Wolf of Wall Street,2000,Golden Globe,79%,Series
Natalie Portman,Pulp Fiction,1983,Screen Actors Guild,59%,Series
Scarlett Johansson,The Silence of the Lambs,1984,No Awards,93%,Movie
Scarlett Johansson,The Silence of the Lambs,2023,BAFTA,95%,Series
Tom Hanks,The Silence of the Lambs,2008,Screen Actors Guild,76%,Movie
Robert De Niro,The Matrix,1980,Screen Actors Guild,73%,Series
Robert De Niro,The Silence of the Lambs,2003,Golden Globe,67%,Series
Morgan Freeman,Gravity,1998,BAFTA,96%,Series
Brad Pitt,The Departed,2023,Critics Choice,48%,Movie
Leonardo DiCaprio,The Matrix,2005,Screen Actors Guild,77%,Series
Denzel Washington,The Shawshank Redemption,2010,Golden Globe,97%,Series
Robert De Niro,La La Land,1994,No Awards,55%,Movie
Sandra Bullock,Pulp Fiction,2010,Screen Actors Guild,54%,Series
Sandra Bullock,Se7en,2015,BAFTA,82%,Movie
Sandra Bullock,The Godfather Part II,1992,Screen Actors Guild,68%,Movie
Scarlett Johansson,The Iron Lady,2003,Golden Globe,65%,Movie
Brad Pitt,Fences,1992,Golden Globe,78%,Series
Sandra Bullock,Se7en,1993,BAFTA,88%,Series
Meryl Streep,Fences,2020,No Awards,62%,Series
Natalie Portman,Gravity,1998,Golden Globe,93%,Movie
Robert De Niro,Pulp Fiction,1990,Screen Actors Guild,74%,Movie
Sandra Bullock,Se7en,2019,Critics Choice,64%,Series
Morgan Freeman,Se7en,2010,BAFTA,42%,Movie
Leonardo DiCaprio,The Shawshank Redemption,1991,BAFTA,75%,Movie
Morgan Freeman,Forrest Gump,1996,No Awards,70%,Series
Morgan Freeman,The Devil Wears Prada,2022,Golden Globe,87%,Series
Robert De Niro,The Iron Lady,2007,Oscar,88%,Series
Meryl Streep,Lucy,2004,Screen Actors Guild,91%,Series
Leonardo DiCaprio,Fight Club,1987,Oscar,86%,Movie
Scarlett Johansson,Black Swan,2023,Oscar,86%,Series
Meryl Streep,The Godfather Part II,1998,Golden Globe,44%,Movie
Meryl Streep,Forrest Gump,2007,Golden Globe,69%,Movie
Sandra Bullock,Titanic,1981,BAFTA,82%,Movie
Sandra Bullock,Lucy,1988,No Awards,49%,Series
Robert De Niro,The Shawshank Redemption,1980,BAFTA,94%,Series
Scarlett Johansson,Titanic,1985,BAFTA,63%,Movie
Denzel Washington,Pulp Fiction,2012,No Awards,40%,Series
Scarlett Johansson,Pulp Fiction,1995,No Awards,50%,Movie
Scarlett Johansson,Se7en,2003,Oscar,90%,Series
Denzel Washington,Training Day,1986,No Awards,72%,Series
Brad Pitt,The Matrix,2014,No Awards,74%,Series
Tom Hanks,Ocean's Eleven,1985,Oscar,78%,Series
Meryl Streep,Titanic,2005,Critics Choice,52%,Series
Robert De Niro,Fight Club,1988,Critics Choice,76%,Series
Robert De Niro,The Iron Lady,2000,Critics Choice,56%,Series
Natalie Portman,La La Land,2009,Critics Choice,87%,Movie
Scarlett Johansson,The Devil Wears Prada,1990,BAFTA,76%,Series
Brad Pitt,Training Day,2006,Golden Globe,57%,Movie
Scarlett Johansson,Fences,1996,Oscar,74%,Movie
Leonardo DiCaprio,The Matrix,1995,Screen Actors Guild,99%,Series
Natalie Portman,Titanic,1988,Golden Globe,61%,Movie
Meryl Streep,The Shawshank Redemption,1982,Oscar,69%,Series
Leonardo DiCaprio,The Wolf of Wall Street,1983,Screen Actors Guild,91%,Series
Leonardo DiCaprio,Fight Club,2014,Golden Globe,55%,Movie
Morgan Freeman,Gravity,2004,BAFTA,88%,Movie
Brad Pitt,The Silence of the Lambs,1980,Oscar,96%,Movie
Denzel Washington,The Godfather Part II,1990,No Awards,63%,Series
Sandra Bullock,Pulp Fiction,2015,Oscar,99%,Series
Robert De Niro,The Wolf of Wall Street,2020,BAFTA,80%,Series
Morgan Freeman,Titanic,1985,Golden Globe,58%,Movie
Scarlett Johansson,Fight Club,2011,Golden Globe,76%,Movie
Robert De Niro,The Devil Wears Prada,1986,Critics Choice,92%,Movie
Natalie Portman,The Iron Lady,1992,Critics Choice,46%,Series
Robert De Niro,Gravity,1987,BAFTA,94%,Movie
Morgan Freeman,Black Swan,2008,No Awards,99%,Movie
Leonardo DiCaprio,The Wolf of Wall Street,2000,No Awards,47%,Series
Morgan Freeman,Fences,2004,Screen Actors Guild,78%,Movie
Morgan Freeman,Ocean's Eleven,2021,No Awards,78%,Movie
Meryl Streep,La La Land,2011,Critics Choice,79%,Movie
Natalie Portman,Titanic,2016,No Awards,67%,Series
Denzel Washington,La La Land,2013,Golden Globe,91%,Series
Morgan Freeman,The Devil Wears Prada,2008,Critics Choice,63%,Series
Natalie Portman,The Matrix,1995,Oscar,97%,Series
Denzel Washington,The Wolf of Wall Street,2014,Oscar,89%,Movie
Scarlett Johansson,The Departed,1995,Critics Choice,44%,Movie
Leonardo DiCaprio,Gravity,2002,Golden Globe,51%,Series
Meryl Streep,Se7en,1991,Golden Globe,74%,Series
Leonardo DiCaprio,Se7en,1995,Oscar,98%,Series
Leonardo DiCaprio,Fight Club,2009,Oscar,52%,Series
Brad Pitt,Black Swan,2014,No Awards,43%,Series
Morgan Freeman,Black Swan,1997,Oscar,72%,Movie
Denzel Washington,Gravity,2008,BAFTA,63%,Movie
Brad Pitt,Training Day,2018,Screen Actors Guild,80%,Movie
Denzel Washington,The Departed,1987,BAFTA,44%,Movie
Leonardo DiCaprio,The Silence of the Lambs,1995,Golden Globe,95%,Series
Natalie Portman,The Devil Wears Prada,2006,Critics Choice,81%,Series
Sandra Bullock,Ocean's Eleven,1994,No Awards,58%,Movie
Leonardo DiCaprio,The Godfather Part II,1992,No Awards,78%,Movie
Leonardo DiCaprio,The Iron Lady,1995,BAFTA,77%,Series
Denzel Washington,Forrest Gump,1998,BAFTA,62%,Movie
Denzel Washington,The Iron Lady,1980,Screen Actors Guild,100%,Movie
Tom Hanks,The Devil Wears Prada,2016,No Awards,47%,Series
Leonardo DiCaprio,Se7en,2010,No Awards,60%,Movie
Morgan Freeman,Fences,2002,Oscar,92%,Movie
Sandra Bullock,Black Swan,2023,Critics Choice,66%,Movie
Natalie Portman,Fences,1999,Screen Actors Guild,42%,Series
Leonardo DiCaprio,La La Land,2007,Golden Globe,92%,Series
Meryl Streep,Lucy,1980,BAFTA,80%,Series
Meryl Streep,Pulp Fiction,1988,BAFTA,91%,Movie
Robert De Niro,Pulp Fiction,1994,Screen Actors Guild,65%,Movie
Natalie Portman,Pulp Fiction,1999,Screen Actors Guild,56%,Movie
Natalie Portman,The Godfather Part II,2019,Critics Choice,68%,Movie
Scarlett Johansson,The Departed,2005,No Awards,73%,Movie
Denzel Washington,Lucy,2013,Critics Choice,52%,Movie
Meryl Streep,Fight Club,2013,BAFTA,73%,Movie
Morgan Freeman,The Iron Lady,1993,BAFTA,90%,Movie
Denzel Washington,Titanic,2018,Golden Globe,78%,Movie
Robert De Niro,Lucy,2007,No Awards,57%,Series
Natalie Portman,La La Land,1982,BAFTA,100%,Movie
Scarlett Johansson,Titanic,2016,BAFTA,86%,Movie
Brad Pitt,The Silence of the Lambs,2016,Oscar,99%,Series
Morgan Freeman,Lucy,2005,Golden Globe,47%,Movie
Sandra Bullock,The Devil Wears Prada,1986,Golden Globe,51%,Series
Tom Hanks,Forrest Gump,2012,Critics Choice,61%,Movie
Sandra Bullock,Lucy,1992,Screen Actors Guild,50%,Movie
Sandra Bullock,The Silence of the Lambs,2006,Golden Globe,41%,Movie
Sandra Bullock,The Silence of the Lambs,1997,BAFTA,75%,Movie
Sandra Bullock,The Departed,2010,No Awards,59%,Movie
Sandra Bullock,The Wolf of Wall Street,1998,BAFTA,67%,Movie
Natalie Portman,The Silence of the Lambs,2006,Golden Globe,98%,Series
Brad Pitt,Black Swan,2000,No Awards,98%,Series
Scarlett Johansson,Lucy,1994,Screen Actors Guild,85%,Movie
Leonardo DiCaprio,The Shawshank Redemption,2019,Golden Globe,45%,Series
Leonardo DiCaprio,Pulp Fiction,1992,Golden Globe,94%,Movie
Brad Pitt,La La Land,1993,Oscar,47%,Movie
Sandra Bullock,Training Day,2003,Oscar,71%,Series
Morgan Freeman,The Wolf of Wall Street,2014,BAFTA,82%,Movie
Robert De Niro,Lucy,2012,No Awards,84%,Series
Morgan Freeman,Black Swan,2021,BAFTA,90%,Series
Tom Hanks,The Departed,2006,BAFTA,67%,Series
Natalie Portman,Se7en,1986,Screen Actors Guild,97%,Series
Tom Hanks,Forrest Gump,2011,Critics Choice,65%,Movie
Tom Hanks,The Godfather Part II,1991,No Awards,74%,Movie
Leonardo DiCaprio,Lucy,2011,No Awards,41%,Series
Robert De Niro,The Godfather Part II,1981,BAFTA,87%,Movie
Meryl Streep,Titanic,1993,Oscar,75%,Series
Sandra Bullock,Se7en,1987,No Awards,98%,Movie
Natalie Portman,Titanic,2023,BAFTA,60%,Series
Sandra Bullock,The Iron Lady,1983,Critics Choice,72%,Series
Leonardo DiCaprio,Gravity,2021,BAFTA,51%,Movie
Sandra Bullock,Lucy,2012,Screen Actors Guild,60%,Movie
Meryl Streep,Pulp Fiction,2019,Oscar,93%,Series
Brad Pitt,The Godfather Part II,2009,Screen Actors Guild,54%,Movie
Leonardo DiCaprio,The Departed,2007,Screen Actors Guild,60%,Movie
Denzel Washington,The Devil Wears Prada,1981,Screen Actors Guild,56%,Movie
Denzel Washington,The Departed,2007,Screen Actors Guild,88%,Movie
Robert De Niro,La La Land,1992,No Awards,49%,Movie
Brad Pitt,The Shawshank Redemption,1996,No Awards,43%,Movie
Robert De Niro,Training Day,2003,Golden Globe,80%,Movie
Tom Hanks,Training Day,1989,Screen Actors Guild,98%,Series
Meryl Streep,Black Swan,1986,Critics Choice,89%,Movie
Scarlett Johansson,The Devil Wears Prada,1995,Golden Globe,43%,Series
Morgan Freeman,The Silence of the Lambs,2001,Screen Actors Guild,63%,Series
Morgan Freeman,La La Land,1994,Screen Actors Guild,71%,Series
Natalie Portman,Gravity,1999,Screen Actors Guild,70%,Series
Natalie Portman,Fight Club,1981,Critics Choice,40%,Series
Robert De Niro,Titanic,2000,Golden Globe,50%,Series
Meryl Streep,Black Swan,2020,Oscar,73%,Series
Robert De Niro,Forrest Gump,1996,BAFTA,42%,Series
Denzel Washington,Fences,1994,Critics Choice,96%,Movie
Morgan Freeman,Gravity,1993,BAFTA,81%,Movie
Brad Pitt,Fight Club,2002,No Awards,51%,Series
Meryl Streep,Pulp Fiction,1991,Screen Actors Guild,59%,Series
Denzel Washington,The Godfather Part II,1995,Oscar,70%,Movie
Meryl Streep,The Devil Wears Prada,1989,Oscar,51%,Series
Sandra Bullock,Ocean's Eleven,2010,No Awards,76%,Series
Robert De Niro,La La Land,2003,Golden Globe,92%,Series
Meryl Streep,Forrest Gump,2023,Golden Globe,62%,Movie
Scarlett Johansson,Fences,2015,No Awards,62%,Series
Scarlett Johansson,Se7en,2022,Golden Globe,47%,Series
Denzel Washington,Ocean's Eleven,1993,Screen Actors Guild,62%,Series
Scarlett Johansson,Gravity,2006,No Awards,96%,Movie
Brad Pitt,The Matrix,2002,Screen Actors Guild,85%,Movie
Meryl Streep,The Matrix,2020,Oscar,48%,Series
Scarlett Johansson,Lucy,1980,Oscar,87%,Series
Leonardo DiCaprio,Lucy,1990,Oscar,100%,Series
Tom Hanks,Fences,2017,No Awards,94%,Movie
Denzel Washington,The Wolf of Wall Street,2002,Oscar,59%,Series
Natalie Portman,Lucy,2007,BAFTA,54%,Movie
Leonardo DiCaprio,La La Land,1995,Golden Globe,48%,Movie
Meryl Streep,Gravity,1992,Golden Globe,52%,Series
Brad Pitt,Fences,1995,BAFTA,53%,Series
Tom Hanks,The Devil Wears Prada,2020,Critics Choice,72%,Series
Robert De Niro,The Shawshank Redemption,1981,Screen Actors Guild,79%,Movie
Scarlett Johansson,The Wolf of Wall Street,1986,No Awards,78%,Movie
Sandra Bullock,The Departed,1998,No Awards,64%,Series
Denzel Washington,Se7en,1988,Critics Choice,78%,Series
Robert De Niro,Forrest Gump,2020,Critics Choice,71%,Movie
Meryl Streep,The Shawshank Redemption,2017,Critics Choice,82%,Movie
Tom Hanks,La La Land,1994,Oscar,72%,Series
Sandra Bullock,Ocean's Eleven,2004,Golden Globe,92%,Movie
Morgan Freeman,La La Land,2015,Golden Globe,58%,Movie
Leonardo DiCaprio,The Matrix,1990,Critics Choice,88%,Series
Natalie Portman,Titanic,2012,Oscar,41%,Series
Denzel Washington,Gravity,2013,BAFTA,57%,Movie
Scarlett Johansson,Training Day,1996,Critics Choice,43%,Series
Scarlett Johansson,Titanic,1990,Screen Actors Guild,71%,Series
Brad Pitt,La La Land,2008,Screen Actors Guild,59%,Series
Tom Hanks,Se7en,2012,Critics Choice,100%,Movie
Denzel Washington,Se7en,1996,No Awards,79%,Movie
Morgan Freeman,Gravity,1994,BAFTA,53%,Movie
Robert De Niro,The Silence of the Lambs,2019,No Awards,100%,Movie
Morgan Freeman,The Devil Wears Prada,1986,Oscar,54%,Series
Morgan Freeman,The Devil Wears Prada,2020,Critics Choice,83%,Series
Robert De Niro,The Iron Lady,1995,BAFTA,84%,Series
Scarlett Johansson,Fences,1986,No Awards,51%,Movie
Denzel Washington,The Godfather Part II,2006,Golden Globe,74%,Movie
Morgan Freeman,The Matrix,1984,BAFTA,51%,Movie
Morgan Freeman,The Departed,2011,BAFTA,57%,Series
Denzel Washington,Titanic,2003,Oscar,47%,Movie
